DATE,Exch_rate
2023-12-01,1.0977
2023-11-01,1.0886
2023-10-01,1.0576
2023-09-01,1.057
2023-08-01,1.0841
2023-07-01,1.0993
2023-06-01,1.091
2023-05-01,1.0688
2023-04-01,1.102
2023-03-01,1.0839
2023-02-01,1.0576
2023-01-01,1.0862
2022-12-01,1.0702
2022-11-01,1.0405
2022-10-01,0.9883
2022-09-01,0.9799
2022-08-01,1.0057
2022-07-01,1.0218
2022-06-01,1.0482
2022-05-01,1.0733
2022-04-01,1.0541
2022-03-01,1.1065
2022-02-01,1.1219
2022-01-01,1.1233
2021-12-01,1.1368
2021-11-01,1.1336
2021-10-01,1.1561
2021-09-01,1.1581
2021-08-01,1.1807
2021-07-01,1.187
2021-06-01,1.1855
2021-05-01,1.2225
2021-04-01,1.2018
2021-03-01,1.1728
2021-02-01,1.2074
2021-01-01,1.2136
2020-12-01,1.2213
2020-11-01,1.1928
2020-10-01,1.1647
2020-09-01,1.1718
2020-08-01,1.1936
2020-07-01,1.1774
2020-06-01,1.1231
2020-05-01,1.1098
2020-04-01,1.0955
2020-03-01,1.1029
2020-02-01,1.1025
2020-01-01,1.1093
2019-12-01,1.121
2019-11-01,1.1015
2019-10-01,1.115
2019-09-01,1.0898
2019-08-01,1.0989
2019-07-01,1.1074
2019-06-01,1.1368
2019-05-01,1.1167
2019-04-01,1.1215
2019-03-01,1.1217
2019-02-01,1.137
2019-01-01,1.1444
2018-12-01,1.1469
2018-11-01,1.1315
2018-10-01,1.131
2018-09-01,1.1608
2018-08-01,1.1599
2018-07-01,1.1691
2018-06-01,1.1683
2018-05-01,1.169
2018-04-01,1.2077
2018-03-01,1.2321
2018-02-01,1.2193
2018-01-01,1.242
2017-12-01,1.1996
2017-11-01,1.1902
2017-10-01,1.1644
2017-09-01,1.1812
2017-08-01,1.1908
2017-07-01,1.184
2017-06-01,1.1423
2017-05-01,1.1241
2017-04-01,1.0895
2017-03-01,1.0649
2017-02-01,1.0575
2017-01-01,1.0795
2016-12-01,1.0513
2016-11-01,1.0585
2016-10-01,1.0979
2016-09-01,1.1238
2016-08-01,1.1156
2016-07-01,1.117
2016-06-01,1.1104
2016-05-01,1.1129
2016-04-01,1.1454
2016-03-01,1.1378
2016-02-01,1.0871
2016-01-01,1.0834
2015-12-01,1.086
2015-11-01,1.0563
2015-10-01,1.1005
2015-09-01,1.1176
2015-08-01,1.1211
2015-07-01,1.0987
2015-06-01,1.1135
2015-05-01,1.0987
2015-04-01,1.1222
2015-03-01,1.073
2015-02-01,1.1193
2015-01-01,1.1286
2014-12-01,1.2097
2014-11-01,1.245
2014-10-01,1.2524
2014-09-01,1.2631
2014-08-01,1.3132
2014-07-01,1.3388
2014-06-01,1.3691
2014-05-01,1.363
2014-04-01,1.3866
2014-03-01,1.377
2014-02-01,1.3802
2014-01-01,1.3485
2013-12-01,1.3745
2013-11-01,1.3589
2013-10-01,1.3582
2013-09-01,1.3524
2013-08-01,1.322
2013-07-01,1.33
2013-06-01,1.3008
2013-05-01,1.2995
2013-04-01,1.3166
2013-03-01,1.2818
2013-02-01,1.3056
2013-01-01,1.3578
2012-12-01,1.3194
2012-11-01,1.2984
2012-10-01,1.2958
2012-09-01,1.2858
2012-08-01,1.2575
2012-07-01,1.2303
2012-06-01,1.2658
2012-05-01,1.2356
2012-04-01,1.324
2012-03-01,1.3343
2012-02-01,1.3324
2012-01-01,1.3078
2011-12-01,1.2945
2011-11-01,1.3441
2011-10-01,1.3856
2011-09-01,1.3384
2011-08-01,1.4377
2011-07-01,1.4395
2011-06-01,1.4504
2011-05-01,1.4394
2011-04-01,1.4799
2011-03-01,1.4165
2011-02-01,1.3802
2011-01-01,1.3686
2010-12-01,1.3379
2010-11-01,1.298
2010-10-01,1.395
2010-09-01,1.3633
2010-08-01,1.2687
2010-07-01,1.3048
2010-06-01,1.2236
2010-05-01,1.2306
2010-04-01,1.3298
2010-03-01,1.3512
2010-02-01,1.3626
2010-01-01,1.3863
2009-12-01,1.4318
2009-11-01,1.5009
2009-10-01,1.4718
2009-09-01,1.4636
2009-08-01,1.4331
2009-07-01,1.425
2009-06-01,1.4036
2009-05-01,1.4154
2009-04-01,1.3226
2009-03-01,1.3251
2009-02-01,1.2669
2009-01-01,1.2782
2008-12-01,1.398
2008-11-01,1.2698
2008-10-01,1.2733
2008-09-01,1.4104
2008-08-01,1.4674
2008-07-01,1.5601
2008-06-01,1.5756
2008-05-01,1.5554
2008-04-01,1.5617
2008-03-01,1.5774
2008-02-01,1.5181
2008-01-01,1.4866
2007-12-01,1.459
2007-11-01,1.4632
2007-10-01,1.4481
2007-09-01,1.4272
2007-08-01,1.363
2007-07-01,1.3673
2007-06-01,1.3542
2007-05-01,1.3453
2007-04-01,1.3647
2007-03-01,1.3358
2007-02-01,1.3235
2007-01-01,1.3034
2006-12-01,1.3199
2006-11-01,1.3241
2006-10-01,1.2763
2006-09-01,1.2672
2006-08-01,1.2807
2006-07-01,1.2763
2006-06-01,1.2789
2006-05-01,1.2812
2006-04-01,1.2637
2006-03-01,1.2119
2006-02-01,1.1921
2006-01-01,1.2155
2005-12-01,1.1843
2005-11-01,1.1789
2005-10-01,1.1988
2005-09-01,1.203
2005-08-01,1.2344
2005-07-01,1.213
2005-06-01,1.2102
2005-05-01,1.231
2005-04-01,1.2873
2005-03-01,1.2963
2005-02-01,1.3237
2005-01-01,1.3034
2004-12-01,1.3558
2004-11-01,1.3293
2004-10-01,1.2785
2004-09-01,1.2432
2004-08-01,1.2188
2004-07-01,1.202
2004-06-01,1.2187
2004-05-01,1.2186
2004-04-01,1.1982
2004-03-01,1.2315
2004-02-01,1.249
2004-01-01,1.2469
