DATE,business_insolvencies
1990-01-01,12117
1990-04-01,11310
1990-07-01,9416
1990-10-01,13286
1991-01-01,14197
1991-04-01,13286
1991-07-01,10817
1991-10-01,14563
1992-01-01,15868
1992-04-01,14507
1992-07-01,12344
1992-10-01,16870
1993-01-01,17658
1993-04-01,15903
1993-07-01,13359
1993-10-01,16789
1994-01-01,17491
1994-04-01,15682
1994-07-01,12081
1994-10-01,15700
1995-01-01,16663
1995-04-01,14241
1995-07-01,11894
1995-10-01,16147
1996-01-01,15944
1996-04-01,14793
1996-07-01,12522
1996-10-01,16501
1997-01-01,16225
1997-04-01,15260
1997-07-01,12119
1997-10-01,15382
1998-01-01,15055
1998-04-01,12931
1998-07-01,10494
1998-10-01,13488
1999-01-01,13903
1999-04-01,12167
1999-07-01,9836
1999-10-01,12436
2000-01-01,12348
2000-04-01,10605
2000-07-01,9025
2000-10-01,11990
2001-01-01,9060
2001-04-01,12287
2001-07-01,9316
2001-10-01,12619
2002-01-01,11208
2002-04-01,11627
2002-07-01,9588
2002-10-01,12543
2003-01-01,12813
2003-04-01,11435
2003-07-01,10006
2003-10-01,12962
2004-01-01,13160
2004-04-01,12018
2004-07-01,10014
2004-10-01,13165
2005-01-01,13559
2005-04-01,12955
2005-07-01,9991
2005-10-01,12846
2006-01-01,12377
2006-04-01,11782
2006-07-01,10077
2006-10-01,13683
2007-01-01,13874
2007-04-01,12813
2007-07-01,10633
2007-10-01,14030
2008-01-01,13932
2008-04-01,13422
2008-07-01,11822
2008-10-01,16466
2009-01-01,17274
2009-04-01,15948
2009-07-01,13756
2009-10-01,16305
2010-01-01,17310
2010-04-01,15276
2010-07-01,12734
2010-10-01,15073
2011-01-01,16929
2011-04-01,15223
2011-07-01,12197
2011-10-01,15246
2012-01-01,16990
2012-04-01,14603
2012-07-01,12634
2012-10-01,16984
2013-01-01,16615
2013-04-01,15650
2013-07-01,13516
2013-10-01,16884
2014-01-01,17297
2014-04-01,15624
2014-07-01,13704
2014-10-01,15939
2015-01-01,18612
2015-04-01,15207
2015-07-01,13270
2015-10-01,16022
2016-01-01,16674
2016-04-01,15203
2016-07-01,11671
2016-10-01,14607
2017-01-01,15839
2017-04-01,13750
2017-07-01,10823
2017-10-01,14159
2018-01-01,14413
2018-04-01,13394
2018-07-01,11520
2018-10-01,14714
2019-01-01,14565
2019-04-01,12860
2019-07-01,10430
2019-10-01,13290
2020-01-01,10596
2020-04-01,5819
2020-07-01,6830
2020-10-01,7972
2021-01-01,7413
2021-04-01,6662
2021-07-01,5434
2021-10-01,8079
2022-01-01,10068
2022-04-01,9978
2022-07-01,9259
2022-10-01,12009
2023-01-01,14616
2023-04-01,13466
