DATE,APU_debts,BOP,business_insolvencies,firms_creation,natality_rate,unemployment_rate
2008-01-01,986.1,65642,13932.0,95971.0,12.7,6.9
2008-04-01,1005.3,65569,13422.0,86992.0,12.9,7.0
2008-10-01,1056.9,62908,16466.0,73322.0,12.7,7.4
2009-01-01,1101.9,55163,17274.0,136931.0,12.5,8.2
2009-04-01,1156.7,52416,15948.0,153322.0,12.4,8.9
2009-10-01,1184.7,54845,16305.0,154917.0,12.8,9.1
2010-01-01,1227.8,56588,17310.0,181999.0,12.5,9.0
2010-04-01,1268.5,59157,15276.0,154896.0,12.4,8.9
2010-10-01,1262.4,59730,15073.0,148567.0,13.1,8.8
2011-01-01,1305.7,63235,16929.0,149721.0,12.4,8.8
2011-04-01,1358.3,64041,15223.0,138989.0,12.0,8.7
2011-10-01,1355.4,65246,15246.0,137009.0,12.5,9.0
2012-01-01,1403.2,66687,16990.0,155948.0,12.1,9.1
2012-04-01,1455.4,66894,14603.0,136688.0,12.1,9.4
2012-10-01,1457.9,67604,16984.0,133187.0,13.0,9.8
2013-01-01,1495.3,66341,16615.0,147773.0,12.1,10.0
2013-04-01,1537.1,69598,15650.0,133415.0,11.7,10.1
2013-10-01,1538.1,69340,16884.0,135235.0,12.5,9.8
2014-01-01,1581.0,67953,17297.0,149914.0,12.3,9.8
2014-04-01,1617.7,68382,15624.0,135402.0,11.5,9.8
2014-10-01,1613.6,71143,15939.0,138399.0,12.4,10.1
2015-01-01,1651.1,72383,18612.0,142361.0,11.8,10.0
2015-04-01,1676.8,74486,15207.0,128742.0,11.3,10.2
2015-10-01,1664.4,74085,16022.0,133045.0,12.0,9.9
2016-01-01,1691.5,74255,16674.0,149837.0,11.5,9.9
2016-04-01,1721.2,74000,15203.0,143101.0,10.8,9.7
2016-10-01,1702.9,73075,14607.0,135738.0,11.8,9.8
2017-01-01,1752.5,74729,15839.0,158406.0,11.0,9.3
2017-04-01,1783.8,76434,13750.0,140323.0,10.8,9.2
2017-10-01,1764.6,78571,14159.0,158402.0,11.6,8.7
2018-01-01,1803.9,80761,14413.0,184744.0,10.8,9.0
2018-04-01,1822.7,82172,13394.0,169558.0,10.4,8.8
2018-10-01,1837.8,85398,14714.0,179825.0,11.5,8.4
2019-01-01,1878.4,86263,14565.0,217005.0,10.8,8.5
2019-04-01,1899.2,87140,12860.0,194865.0,10.4,8.1
2019-10-01,1906.4,86680,13290.0,214896.0,11.3,7.9
2020-01-01,1952.2,77222,10596.0,210835.0,10.7,7.7
2020-04-01,2065.2,56734,5819.0,159088.0,10.1,7.0
2020-10-01,2083.8,72763,7972.0,249840.0,11.0,7.9
2021-01-01,2144.4,80606,7413.0,274975.0,9.2,8.0
2021-04-01,2162.6,81957,6662.0,252508.0,10.6,7.7
2021-10-01,2227.6,89998,8079.0,246246.0,11.4,7.2
2022-01-01,2292.4,100037,10068.0,0.0,10.3,7.1
2022-04-01,2308.7,100528,9978.0,0.0,10.0,7.1
2022-10-01,2359.7,107529,12009.0,0.0,10.3,7.0
2023-01-01,2408.0,109080,14616.0,0.0,9.6,6.9
2023-04-01,2465.0,109339,13466.0,0.0,9.3,6.9
2023-10-01,0.0,110372,0.0,0.0,9.8,0.0
