DATE,negotiable_debts,BOP,business_insolvencies,firms_creation,natality_rate,unemployment_rate,Valuation,Exch_rate,Deposit facility,Fixed rate,Marginal lending facility
2009-01-01,1018094,55163.0,5758.0,39666.0,12.5,8.2,2973.92,1.2782,1.0,2.0,3.0
2009-02-01,1040865,54216.0,5758.0,45656.0,12.3,8.433333333333334,2702.48,1.2669,1.0,2.0,3.0
2009-03-01,1063788,52910.0,5758.0,57577.0,12.2,8.666666666666666,2807.34,1.3251,0.5,1.5,2.5
2009-04-01,1074757,52416.0,5316.0,56132.0,12.4,8.9,3159.85,1.3226,0.25,1.25,2.25
2009-05-01,1092161,54464.0,5316.0,48641.0,12.4,8.9,3277.65,1.4154,0.25,1.0,1.75
2009-06-01,1121058,53710.0,5316.0,53082.0,12.7,8.9,3140.44,1.4036,0.25,1.0,1.75
2009-07-01,1115559,55106.0,4585.333333333333,48476.0,13.3,8.9,3426.27,1.425,0.25,1.0,1.75
2009-08-01,1125265,53012.0,4585.333333333333,37013.0,12.8,8.966666666666667,3653.54,1.4331,0.25,1.0,1.75
2009-09-01,1134363,53414.0,4585.333333333333,53745.0,13.2,9.033333333333331,3795.41,1.4636,0.25,1.0,1.75
2009-10-01,1140506,54845.0,5435.0,56423.0,12.8,9.1,3607.69,1.4718,0.25,1.0,1.75
2009-11-01,1153093,53388.0,5435.0,49254.0,12.6,9.066666666666666,3680.15,1.5009,0.25,1.0,1.75
2009-12-01,1147985,55112.0,5435.0,53929.0,12.8,9.033333333333331,3936.33,1.4318,0.25,1.0,1.75
2010-01-01,1153361,56588.0,5770.0,56338.0,12.5,9.0,3739.46,1.3863,0.25,1.0,1.75
2010-02-01,1163819,57246.0,5770.0,59406.0,12.7,8.966666666666667,3708.8,1.3626,0.25,1.0,1.75
2010-03-01,1183542,57790.0,5770.0,70955.0,12.4,8.933333333333334,3974.01,1.3512,0.25,1.0,1.75
2010-04-01,1188807,59157.0,5092.0,58575.0,12.4,8.9,3816.99,1.3298,0.25,1.0,1.75
2010-05-01,1209153,59583.0,5092.0,50498.0,12.5,8.9,3507.56,1.2306,0.5,1.25,2.0
2010-06-01,1228209,61079.0,5092.0,51544.0,12.7,8.9,3442.89,1.2236,0.5,1.25,2.0
2010-07-01,1219074,61667.0,4244.666666666667,46318.0,13.1,8.9,3643.14,1.3048,0.5,1.25,2.0
2010-08-01,1217838,60925.0,4244.666666666667,39759.0,12.9,8.866666666666667,3490.79,1.2687,0.5,1.25,2.0
2010-09-01,1222640,60484.0,4244.666666666667,53789.0,13.1,8.833333333333334,3715.18,1.3633,0.5,1.25,2.0
2010-10-01,1222640,59730.0,5024.333333333333,56338.0,13.1,8.8,3833.5,1.395,0.5,1.25,2.0
2010-11-01,1236832,61673.0,5024.333333333333,49679.0,12.9,8.8,3610.44,1.298,0.5,1.25,2.0
2010-12-01,1228971,60888.0,5024.333333333333,47186.0,12.7,8.8,3804.78,1.3379,0.5,1.25,2.0
2011-01-01,1233421,63235.0,5643.0,48650.0,12.4,8.8,4005.5,1.3686,0.5,1.25,2.0
2011-02-01,1249859,64334.0,5643.0,49707.0,12.5,8.766666666666667,4110.35,1.3802,0.5,1.25,2.0
2011-03-01,1269708,63616.0,5643.0,56523.0,12.1,8.733333333333333,3989.18,1.4165,0.5,1.25,2.0
2011-04-01,1270111,64041.0,5074.333333333333,48088.0,12.0,8.7,4106.92,1.4799,0.5,1.25,2.0
2011-05-01,1293819,64712.0,5074.333333333333,49228.0,12.6,8.766666666666666,4006.94,1.4394,0.5,1.25,2.0
2011-06-01,1318828,65186.0,5074.333333333333,46135.0,12.9,8.833333333333334,3982.21,1.4504,0.75,1.5,2.25
2011-07-01,1307892,64800.0,4065.6666666666665,42266.0,13.1,8.9,3671.28,1.4395,0.75,1.5,2.25
