DATE,firms_creation
2000-01-01,21525
2000-02-01,20798
2000-03-01,22342
2000-04-01,22596
2000-05-01,21197
2000-06-01,18557
2000-07-01,21084
2000-08-01,15523
2000-09-01,16624
2000-10-01,22257
2000-11-01,16887
2000-12-01,16796
2001-01-01,23334
2001-02-01,19812
2001-03-01,21926
2001-04-01,22508
2001-05-01,19157
2001-06-01,18954
2001-07-01,21343
2001-08-01,15015
2001-09-01,15501
2001-10-01,22196
2001-11-01,16739
2001-12-01,16929
2002-01-01,23458
2002-02-01,19035
2002-03-01,21095
2002-04-01,23804
2002-05-01,18024
2002-06-01,18895
2002-07-01,22885
2002-08-01,13788
2002-09-01,16976
2002-10-01,22460
2002-11-01,16109
2002-12-01,18740
2003-01-01,24027
2003-02-01,20668
2003-03-01,23521
2003-04-01,25279
2003-05-01,19417
2003-06-01,21294
2003-07-01,24107
2003-08-01,15042
2003-09-01,21065
2003-10-01,25673
2003-11-01,18344
2003-12-01,22724
2004-01-01,26598
2004-02-01,26069
2004-03-01,30632
2004-04-01,28088
2004-05-01,23163
2004-06-01,26775
2004-07-01,24045
2004-08-01,18219
2004-09-01,22609
2004-10-01,23898
2004-11-01,20123
2004-12-01,23339
2005-01-01,25881
2005-02-01,25537
2005-03-01,28227
2005-04-01,28495
2005-05-01,23802
2005-06-01,27000
2005-07-01,23354
2005-08-01,19064
2005-09-01,24075
2005-10-01,25389
2005-11-01,20591
2005-12-01,25124
2006-01-01,29704
2006-02-01,26794
2006-03-01,31106
2006-04-01,26622
2006-05-01,25905
2006-06-01,26997
2006-07-01,23391
2006-08-01,19829
2006-09-01,25092
2006-10-01,28460
2006-11-01,23580
2006-12-01,25146
2007-01-01,33242
2007-02-01,29960
2007-03-01,33791
2007-04-01,31314
2007-05-01,27208
2007-06-01,29964
2007-07-01,30678
2007-08-01,24313
2007-09-01,27774
2007-10-01,33778
2007-11-01,25639
2007-12-01,29529
2008-01-01,37387
2008-02-01,34349
2008-03-01,33297
2008-04-01,36152
2008-05-01,27816
2008-06-01,31235
2008-07-01,32016
2008-08-01,21651
2008-09-01,28891
2008-10-01,31702
2008-11-01,22408
2008-12-01,26490
2009-01-01,39666
2009-02-01,45656
2009-03-01,57577
2009-04-01,56132
2009-05-01,48641
2009-06-01,53082
2009-07-01,48476
2009-08-01,37013
2009-09-01,53745
2009-10-01,56423
2009-11-01,49254
