DATE,negotiable_debts
2009-01-01,1018094
2009-02-01,1040865
2009-03-01,1063788
2009-04-01,1074757
2009-05-01,1092161
2009-06-01,1121058
2009-07-01,1115559
2009-08-01,1125265
2009-09-01,1134363
2009-10-01,1140506
2009-11-01,1153093
2009-12-01,1147985
2010-01-01,1153361
2010-02-01,1163819
2010-03-01,1183542
2010-04-01,1188807
2010-05-01,1209153
2010-06-01,1228209
2010-07-01,1219074
2010-08-01,1217838
2010-09-01,1222640
2010-10-01,1222640
2010-11-01,1236832
2010-12-01,1228971
2011-01-01,1233421
2011-02-01,1249859
2011-03-01,1269708
2011-04-01,1270111
2011-05-01,1293819
2011-06-01,1318828
2011-07-01,1307892
2011-08-01,1307753
2011-09-01,1307505
2011-10-01,1304987
2011-11-01,1317144
2011-12-01,1312980
2012-01-01,1315921
2012-02-01,1334184
2012-03-01,1352174
2012-04-01,1350380
2012-05-01,1374090
2012-06-01,1394859
2012-07-01,1386993
2012-08-01,1382113
2012-09-01,1379651
2012-10-01,1377315
2012-11-01,1392637
2012-12-01,1386154
2013-01-01,1382497
2013-02-01,1400830
2013-03-01,1420409
2013-04-01,1419893
2013-05-01,1443240
2013-06-01,1459237
2013-07-01,1442973
2013-08-01,1442668
2013-09-01,1449987
2013-10-01,1445782
2013-11-01,1459721
2013-12-01,1457220
2014-01-01,1454246
2014-02-01,1478113
2014-03-01,1502246
2014-04-01,1497062
2014-05-01,1516045
2014-06-01,1535836
2014-07-01,1525122
2014-08-01,1523761
2014-09-01,1528186
2014-10-01,1519180
2014-11-01,1537494
2014-12-01,1527562
2015-01-01,1530034
2015-02-01,1542678
2015-03-01,1562642
2015-04-01,1558353
2015-05-01,1572727
2015-06-01,1584862
2015-07-01,1570667
2015-08-01,1574116
2015-09-01,1589256
2015-10-01,1579648
2015-11-01,1583972
2015-12-01,1576372
2016-01-01,1596059
2016-02-01,1588594
2016-03-01,1611199
2016-04-01,1604863
2016-05-01,1624662
2016-06-01,1638566
2016-07-01,1624253
2016-08-01,1623686
2016-09-01,1636208
2016-10-01,1624639
2016-11-01,1626685
2016-12-01,1620597
2017-01-01,1648813
2017-02-01,1650777
2017-03-01,1673910
2017-04-01,1663016
2017-05-01,1691097
2017-06-01,1700667
2017-07-01,1682900
2017-08-01,1687171
2017-09-01,1703850
2017-10-01,1680196
2017-11-01,1691635
2017-12-01,1686112
2018-01-01,1709979
2018-02-01,1708857
2018-03-01,1724941
2018-04-01,1718405
2018-05-01,1720949
2018-06-01,1741860
2018-07-01,1752246
2018-08-01,1751238
2018-09-01,1771633
2018-10-01,1759577
2018-11-01,1760076
2018-12-01,1756400
2019-01-01,1770987
2019-02-01,1785808
2019-03-01,1798149
2019-04-01,1790253
2019-05-01,1792621
2019-06-01,1814228
2019-07-01,1827956
2019-08-01,1835984
2019-09-01,1853917
2019-10-01,1831331
2019-11-01,1825957
2019-12-01,1822805
2020-01-01,1837897
2020-02-01,1848465
2020-03-01,1872738
2020-04-01,1895456
2020-05-01,1929586
2020-06-01,1980985
2020-07-01,1991911
2020-08-01,2004083
2020-09-01,2015454
2020-10-01,1995305
2020-11-01,1998779
2020-12-01,2001014
2021-01-01,2032414
2021-02-01,2033490
2021-03-01,2063954
2021-04-01,2051107
2021-05-01,2057480
2021-06-01,2084404
2021-07-01,2110887
2021-08-01,2126280
2021-09-01,2147505
2021-10-01,2131133
2021-11-01,2151245
2021-12-01,2145121
2022-01-01,2166809
2022-02-01,2178966
2022-03-01,2209529
2022-04-01,2189180
2022-05-01,2188750
2022-06-01,2219805
2022-07-01,2226743
2022-08-01,2236896
2022-09-01,2257791
2022-10-01,2246912
2022-11-01,2266628
2022-12-01,2277811
2023-01-01,2297631
2023-02-01,2319193
2023-03-01,2328956
2023-04-01,2352050
2023-05-01,2347249
2023-06-01,2383820
2023-07-01,2389373
2023-08-01,2410445
2023-09-01,2426768
2023-10-01,2411282
2023-11-01,2426434
